timestamp_us,wall_us,gpu_us
2765812.403,5980.883,5831.680
2771811.244,4827.891,4731.872
2776645.073,5129.515,4982.784
2781783.883,6024.891,5829.632
2787814.303,4856.873,4682.752
2792685.392,5444.220,5293.056
2798143.612,6094.772,5959.680
2804251.635,4883.090,4677.632
2809146.782,5431.168,5132.288
2814585.051,5518.999,5132.288
2820173.127,5099.841,4830.208
2825283.773,5133.818,4967.424
2830420.932,5160.683,4961.280
2835592.576,4815.093,4682.752
2840411.787,5073.984,4848.640
2845495.142,5177.117,4968.448
2850679.950,4937.219,4739.072
2856058.137,4819.978,4611.072
2860883.409,5218.216,5050.368
2866113.900,5013.885,4883.456
2871130.765,4940.046,4676.608
2876074.471,4907.714,4738.048
2880993.153,5137.147,4950.016
2886138.595,4817.096,4677.632
2890959.924,5120.370,4905.984
2896088.019,5357.860,5147.648
2901465.866,4978.657,4822.016
2906454.558,5021.723,4820.992
2911480.445,5216.628,5066.752
2916709.287,5086.514,4933.632
2921807.201,4779.073,4631.552
2926593.938,5165.936,5001.216
2931767.460,4892.733,4755.456
2936663.414,4820.733,4679.680
2941941.193,5146.362,4990.976
2947097.766,5125.279,4966.400
2952232.114,4999.986,4866.048
2957235.064,5218.046,4970.496
2962462.258,5055.489,4942.848
2967524.792,5129.866,4900.864
2972668.614,4801.291,4670.464
2977475.639,5179.674,5026.816
2982659.495,5292.776,5082.112
2987963.300,4884.925,4668.416
2992857.797,5177.682,5005.312
2998042.385,5141.078,4935.680
3003189.478,4816.758,4699.136
3008016.162,5124.397,4962.304
3013150.224,5168.793,5018.624
3018325.820,4852.687,4708.352
3023188.137,4829.523,4665.344
3028356.234,5278.989,5038.080
3033641.974,5088.343,4920.320
3038748.344,4977.616,4691.968
3043738.366,5236.898,5071.872
3048978.584,5084.183,4916.224
3054068.979,4869.632,4694.016
3058940.551,5113.583,4960.256
3064062.408,5105.262,4920.320
3069176.040,4841.468,4702.208
3074026.647,5152.238,5001.216
3079186.224,5133.711,4992.000
3084332.550,4978.451,4843.520
3089324.239,4853.683,4669.440
3094186.238,5402.999,5262.336
3099598.841,5058.249,4901.888
3104661.445,4789.604,4649.984
3109453.666,5119.800,4965.376
3114974.791,5131.634,4904.960
3120112.864,4824.031,4645.888
3124946.423,5330.580,5168.128
3130284.156,5130.680,4940.800
3135419.862,4842.038,4669.440
3140272.317,4795.225,4636.672
3145076.841,6196.788,6055.936
3151289.466,4893.316,4685.824
3156184.475,4842.851,4668.416
3161038.499,5237.439,5076.992
3166287.372,5065.500,4930.560
3171362.662,4906.666,4676.608
3176283.046,5296.262,5030.912
3181589.815,4971.903,4752.384
3186567.400,4785.628,4668.416
3191356.030,5137.091,4966.400
3196498.044,5112.983,4973.568
3201996.181,5012.807,4700.160
3207016.754,4826.665,4658.176
3211846.480,5199.057,5000.192
3217054.919,4866.535,4725.760
3221934.050,4629.972,4481.024
3226572.302,5185.699,5018.624
3231766.852,5087.117,4971.520
3236863.908,4833.638,4667.392
3241702.472,5141.011,4974.592
3246845.612,5133.337,4960.256
3251990.551,4817.024,4684.800
3256816.051,4795.830,4636.672
3261613.963,5235.844,5065.728
3266852.686,4855.138,4710.400
3271710.705,4842.810,4689.920
3276565.324,5204.033,5050.368
3281773.253,5137.392,4968.448
3287322.348,5027.783,4816.896
3292364.022,5524.850,5387.264
3297897.457,5184.195,5084.992
3303091.011,4954.606,4830.208
3308052.797,5095.030,4957.184
3313154.317,5067.782,4926.464
3318229.700,4994.002,4670.464
3323228.389,4818.411,4653.056
3328051.153,5233.571,5063.680
3333294.658,4852.804,4720.640
3338149.882,4815.083,4665.344
3342968.536,5222.171,5038.080
3348199.404,5118.015,4961.280
3353320.625,4867.291,4685.824
3358194.884,5096.102,4942.848
3363301.669,5259.220,5072.896
3368569.238,4855.507,4703.232
3373845.537,4819.899,4720.640
3378675.088,5084.041,4948.992
3383761.810,4876.062,4706.304
3388645.666,4685.775,4472.832
3393344.382,5306.251,5169.152
3398655.822,5068.514,4879.360
3403837.031,4956.939,4857.856
3408808.571,5082.206,4929.536
3413899.546,5111.129,4974.592
3419019.757,4972.382,4678.656
3424003.013,5263.582,5053.440
3429272.898,5104.251,4956.160
3434382.893,4869.118,4713.472
3439263.086,4989.543,4831.232
3444260.460,5202.776,5069.824
3449472.382,5087.045,4927.488
3454568.083,4805.772,4672.512
3459641.467,5097.513,4966.400
3464744.901,5134.218,4925.440
3469889.148,4828.931,4676.608
3474726.262,5152.375,5007.360
3479886.118,5144.349,5003.264
3485042.208,4878.354,4720.640
3489931.340,4825.189,4709.376
3494765.620,5180.609,5041.152
3499950.850,5030.230,4865.024
3504983.925,4810.263,4664.320
3509803.383,5183.316,5009.408
3514997.245,5107.227,4939.776
3520110.979,4805.836,4689.920
3524926.845,4927.544,4759.552
3529867.273,5296.983,5154.816
3535173.878,5101.957,4850.688
3540285.570,4840.365,4699.136
3545136.186,5223.980,5062.656
3550676.803,5000.306,4846.592
3555685.465,4841.598,4633.600
3560535.793,5212.083,5022.720
3565757.890,5005.217,4872.192
3570767.811,4845.418,4678.656
3575621.295,5471.346,5187.584
3581104.417,5300.678,5166.080
3586415.191,4872.368,4732.928
3591296.404,5148.573,4976.640
3596450.961,5080.096,4938.752
3601538.505,5116.844,4881.408
3606665.478,4799.605,4660.224
3611471.467,5221.301,5058.560
3616695.598,5084.370,4934.656
3621788.939,4819.176,4633.600
3626618.272,5494.623,5299.200
3632118.713,5021.851,4897.792
3637520.345,4399.099,4280.320
3641927.405,5117.601,4974.592
3647051.709,5165.434,4970.496
3652225.398,4844.824,4705.280
3657078.622,4799.012,4657.152
3661885.041,5301.838,5156.864
3667197.988,5849.193,4864.000
3673060.550,4949.553,4807.680
3678019.313,5374.206,5066.752
3683404.824,5068.055,4920.320
3688480.972,4806.789,4672.512
3693291.596,5199.016,4975.616
3698496.399,5116.571,4974.592
3703619.439,4820.463,4681.728
3708442.182,5120.011,4968.448
3713569.528,5222.496,4979.712
3718800.790,4826.929,4694.016
3724058.224,5080.247,4941.824
3729150.047,5130.917,4957.184
3734290.437,4834.599,4717.568
3739138.044,4831.197,4694.016
3743979.907,5215.017,4998.144
3749204.431,5042.097,4876.288
3754249.439,4820.192,4675.584
3759078.508,5127.493,4986.880
3764209.962,4880.046,4714.496
3769094.362,4874.595,4704.256
3773979.686,5128.775,4970.496
3779113.925,5108.073,4967.424
3784226.168,5055.989,4888.576
3789290.549,4781.245,4648.960
3794073.565,5127.536,4977.664
3799203.177,5101.334,4882.432
3804317.049,4857.648,4745.216
3809441.719,5077.298,4960.256
3814524.217,5297.313,4965.376
3819833.982,4861.461,4697.088
3824706.906,5223.151,5076.992
3829937.218,5113.381,4978.688
3835060.001,5007.383,4870.144
3840074.601,4802.481,4666.368
3844881.679,5227.818,5079.040
3850118.876,4984.208,4894.720
3855114.198,4888.807,4677.632
3860008.910,5251.288,5127.168
3865269.601,5218.622,4953.088
3870493.299,4901.786,4686.848
3875402.649,5274.774,4891.648
3880690.034,5180.201,4955.136
3885880.685,4876.922,4675.584
3890765.013,4874.100,4707.328
3896163.566,5208.323,4937.728
3901377.270,4879.263,4694.016
3906265.043,4836.305,4651.008
3911112.676,5206.554,5069.824
3916322.140,4886.583,4719.616
3921210.363,4867.534,4689.920
3926105.611,5120.159,4975.616
3931233.437,4889.928,4751.360
3936132.253,4831.586,4691.968
3940972.506,4957.411,4718.592
3945933.464,5156.446,4990.976
3951097.615,4942.131,4684.800
3956044.809,4819.151,4652.032
3960870.839,5170.204,5007.360
3966044.220,5272.088,4892.672
3971325.985,5184.939,4930.560
3976521.901,5342.432,5138.432
3982613.556,5049.599,4893.696
3987673.803,4855.021,4658.176
3992539.438,5200.226,5040.128
3997744.625,5086.458,4942.848
4002837.973,4827.918,4689.920
4007672.478,5296.860,4901.888
4012978.617,5209.127,4979.712
4018199.315,5060.819,4927.488
4023273.017,4779.124,4716.544
4028060.897,5111.844,4970.496
4033183.389,5181.211,4911.104
4038367.090,4851.470,4678.656
4043221.411,5278.291,5021.696
4048541.342,5491.705,5311.488
4054044.965,4845.352,4664.320
4058904.736,5012.262,4857.856
4063923.465,5137.636,4969.472
4069496.158,4816.574,4685.824
4074319.677,4926.177,4737.024
4079255.774,5072.964,4936.704
4084332.118,4785.559,4738.048
4089124.185,4821.806,4674.560
4093958.735,5164.976,5029.888
4099127.720,4832.278,4746.208
4103964.651,4839.040,4689.920
4108813.622,5077.266,4938.752
4113893.115,5347.888,4935.680
4119244.492,4950.137,4635.648
4124199.383,5057.866,4891.648
4129261.020,5166.879,4993.024
4134436.961,4953.169,4698.112
4139402.847,4621.248,4466.688
4144028.666,5150.026,5004.288
4149182.138,4959.444,4724.736
4154642.221,4839.333,4696.064
4159487.572,5174.676,4971.520
4164664.833,4991.143,4788.224
4169667.397,4951.383,4816.896
4174628.298,5128.107,4989.952
4179763.403,5181.821,4979.712
4184955.787,4627.853,4512.768
4189592.979,4805.325,4643.840
4194407.014,5221.422,5059.584
4199633.002,5758.901,5611.520
4205402.684,4827.109,4684.800
4210240.004,5171.352,5018.624
4215420.963,4906.705,4701.184
4220329.412,4851.619,4679.680
4225188.967,5154.273,4989.952
4230351.968,4964.951,4823.040
4235372.094,5031.910,4892.672
4240740.816,5180.138,4988.928
4245930.488,5380.635,4974.592
4251323.196,5166.712,5045.248
4256501.501,4803.799,4674.560
4261314.721,5162.387,5019.648
4266490.067,5351.707,5197.824
4271851.714,5645.631,5467.136
4277523.215,5307.254,5054.464
4282843.934,6200.197,5969.920
4289072.951,5001.708,4726.784
4294085.710,6224.566,6073.344
4300325.402,5214.657,5041.152
4305547.235,4828.204,4680.704
4310384.204,6040.229,5901.312
4316434.795,5096.004,4999.936
4321544.557,4997.962,4837.376
4326553.045,5329.933,5215.232
4332444.488,5091.197,4935.680
4337547.522,5711.224,5578.752
4343264.390,6110.952,5875.712
4349379.310,5112.155,4941.824
4354501.477,4573.252,4441.088
4359077.953,5176.888,5007.360
4364258.647,5134.740,4989.952
4369402.769,5894.794,5562.368
4375396.531,5215.346,4944.896
4380621.237,5139.849,4994.048
4385772.020,5077.245,5031.616
4390851.868,5069.494,4883.424
4395923.586,5229.508,4968.448
4401163.485,4645.462,4508.672
4405816.690,4830.858,4671.488
4410650.009,5220.364,5021.696
4415880.942,5366.390,5254.144
4421596.644,4924.477,4647.936
4426527.691,5215.674,5030.912
4431750.958,5144.518,5047.296
4436902.968,4829.464,4688.896
4441740.295,4749.884,4514.816
4446498.811,5125.820,4967.424
4451626.861,4862.703,4705.280
4456497.865,4890.810,4668.416
4461401.906,5130.213,4995.072
4466534.812,4968.296,4714.496
4471505.590,4829.144,4636.672
4476344.977,5052.475,4915.200
4481403.041,5146.162,4932.608
4486554.379,4718.489,4497.408
4491278.234,5151.814,4975.616
4496440.690,5100.711,4944.896
4501547.653,4864.519,4678.656
4506806.188,4866.041,4670.464
4511684.251,5539.349,5378.048
4517233.684,5308.562,5197.824
4522554.353,4808.645,4676.608
4527366.420,5187.757,5002.240
4532561.844,5086.409,4951.040
4537655.816,4815.486,4674.560
4542482.459,5182.503,5028.864
4547667.631,5220.691,5000.192
4552898.850,4825.222,4691.968
4557726.609,5143.285,4948.992
4562873.735,5199.441,4989.952
4568084.236,4968.225,4833.280
4573062.288,4974.348,4811.776
4578041.539,5136.507,4994.048
4583185.553,5043.663,4903.936
4588240.420,4822.112,4665.344
4593404.303,5293.638,5135.360
4598710.083,5209.655,5078.016
4603927.019,4815.935,4678.656
4608755.887,5182.062,4953.088
4613949.418,5131.442,4932.608
4619089.727,5020.046,4852.736
4624118.293,5149.066,4994.048
4629307.958,5155.816,4968.448
4634473.468,4981.572,4842.496
4639463.960,4963.650,4798.464
4644434.920,5207.756,5068.800
4649647.800,4926.657,4757.504
4654584.680,4867.915,4666.368
4659461.153,5158.124,4999.168
4664621.797,5056.841,4912.128
4669681.049,4910.426,4647.936
4674595.720,5133.398,4963.328
4680173.698,5067.615,4947.968
4685245.800,4785.001,4721.664
4690041.718,4603.135,4464.640
4694654.786,5214.381,5031.936
4699876.391,4837.947,4719.616
4704725.337,4855.003,4690.944
4709589.340,5100.292,4941.824
4714697.964,5147.781,4943.872
4719854.788,4815.061,4675.584
4724678.256,5128.345,4987.904
4729813.613,5144.674,4980.736
4734967.614,4642.717,4502.528
4739619.734,4783.101,4619.264
4744412.469,5236.688,5073.920
4749676.899,4843.381,4716.544
4754533.289,4833.809,4697.088
4759376.174,5159.738,4992.000
4764857.225,5055.757,4926.464
4769921.744,4892.492,4677.632
4774822.784,4940.270,4757.504
4779776.771,5444.888,5279.744
4785237.295,5147.404,4886.528
4790394.406,4733.512,4674.560
4795146.822,6394.385,6100.992
4801556.287,5292.818,5095.424
4806860.368,5035.288,4876.288
4811914.603,5302.018,5022.720
4817225.612,4893.102,4701.184
4822133.037,5125.141,4931.584
4827272.384,5663.388,5500.928
4832947.727,6142.640,6021.120
4839125.610,5168.011,4818.944
4844307.616,5182.904,5050.368
4849500.287,5139.448,4980.736
4854648.479,4850.455,4713.472
4860093.960,5152.608,4995.072
4865254.743,5088.005,4911.104
4870345.474,4837.861,4690.944
4875194.205,5105.537,4969.472
4880303.915,5238.971,4976.640
4885554.727,4991.541,4851.712
4890556.382,4840.816,4683.776
4895401.228,5218.004,4971.520
4900630.513,4879.369,4658.176
4905517.214,4950.852,4668.416
4910471.848,5257.248,5056.512
4915742.328,4924.695,4747.264
4920675.397,4946.169,4683.776
4925629.430,5137.836,4967.424
4930780.035,5218.950,5064.704
4936007.192,4913.927,4672.512
4940929.742,5104.971,4942.848
4946564.457,5216.379,5068.800
4951790.196,4830.104,4719.616
4956631.678,4893.325,4660.224
4961527.451,5245.753,5054.464
4966783.684,4885.967,4705.280
4971676.227,4630.540,4465.664
4976317.736,5302.819,5126.144
4981636.160,5930.839,5771.264
4987580.932,4651.964,4502.528
4992245.544,5132.997,4989.952
4997391.264,5136.345,4984.832
5002538.770,4988.799,4827.136
5007535.278,5135.099,4965.376
5012680.731,5131.884,4986.880
5017820.396,4864.113,4723.712
5022693.699,4805.791,4665.344
5027506.462,5166.829,4981.760
5033065.692,5062.563,4955.136
5038138.725,4875.402,4686.848
5043025.783,5118.723,4962.304
5048149.224,5111.708,4966.400
5053268.443,4859.954,4643.840
5058131.813,5247.947,4970.496
5063389.804,5206.848,5062.656
5068606.594,4790.790,4714.496
5073406.087,4912.604,4707.328
5078325.833,5253.613,5075.968
5083594.809,5087.716,4933.632
5088696.067,4809.730,4677.632
5093514.797,5136.083,4995.072
5098657.757,5169.350,4919.296
5103836.228,4795.789,4663.296
5108636.145,5267.580,5012.480
5113906.265,5217.287,4959.232
5119666.648,4864.068,4700.160
5124542.877,5137.087,4938.752
5129688.200,5243.109,5005.312
5134933.961,5052.848,4902.912
5139997.866,4896.970,4652.032
5144905.998,5256.318,5067.776
5150173.880,5198.975,5088.256
5155382.723,5772.292,5633.024
5161169.033,5078.190,4904.960
5166254.731,4656.799,4520.960
5170914.029,5065.711,4673.536
5175989.369,5225.318,5038.080
5181217.337,5117.417,4944.896
5186342.513,4819.178,4681.728
5191171.522,4872.476,4731.904
5196051.948,5140.330,4967.424
5201200.956,5042.740,4884.480
5206614.438,4780.042,4653.056
5211401.467,5202.706,5027.840
5216614.542,5164.754,4928.512
5221783.740,4810.873,4653.056
5226604.746,5309.844,5081.088
5231922.330,5117.101,4947.968
5237053.184,4997.702,4857.856
5242061.528,5245.117,5089.280
5247317.902,5190.409,4935.680
5252520.100,4810.110,4679.680
5257334.101,5091.249,4875.264
5262429.053,5291.604,4965.376
5267729.429,4854.752,4716.544
5272591.959,4801.766,4658.176
5277401.847,5240.782,5023.744
5282658.654,5061.008,4979.712
5287730.972,4945.475,4670.464
5292978.098,5327.619,5014.528
5298315.267,5097.669,4962.304
5303418.778,4971.842,4700.160
5308398.127,4878.923,4712.448
5313285.180,5189.299,4982.784
5318481.615,4839.280,4701.184
5323327.054,4800.190,4676.608
5328139.100,5168.981,5029.888
5333317.547,4948.524,4703.232
5338270.704,4908.952,4674.560
5343193.385,5311.770,5183.488
5348516.125,5150.618,4964.352
5353676.745,5965.969,5667.840
5359664.695,5387.330,4993.024
5365063.020,5255.234,5144.576
5370329.233,4835.895,4700.160
5375173.674,4634.852,4497.408
5380190.223,5086.405,4961.280
5385281.951,4861.056,4715.520
5390154.104,4849.807,4687.872
5395014.229,5168.609,5030.912
5400188.734,5096.954,4954.112
5405294.036,4867.067,4704.256
5410169.860,5123.151,4905.984
5415299.506,5269.505,4977.664
